RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Intv	Uniform	1.0e-06	Sin	4	7	Forward	1.997e-05	2.589e-06	1.600e-05	2.227e-05	-1.053e-02	2.109e-01	-4.184e-01	4.360e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.375	0.219	0.281	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Sin	4	7	Backward	2.533e-05	3.468e-06	1.997e-05	2.839e-05	-7.781e-03	4.124e-02	-7.720e-02	6.765e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Sin	4	7	Roundtrip	1.248e-06	1.618e-07	1.000e-06	1.392e-06	8.513e-03	2.117e-01	-5.015e-01	4.638e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0625	0.125	0.500	0.188	0.0938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Cos	4	7	Forward	1.997e-05	2.589e-06	1.600e-05	2.227e-05	-3.399e-02	2.058e-01	-4.624e-01	3.159e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0938	0.313	0.313	0.219	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Cos	4	7	Backward	2.533e-05	3.468e-06	1.997e-05	2.839e-05	-1.048e-02	4.252e-02	-7.905e-02	6.001e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-06	Cos	4	7	Roundtrip	1.248e-06	1.618e-07	1.000e-06	1.392e-06	-2.819e-02	2.279e-01	-5.713e-01	3.613e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.125	0.156	0.313	0.344	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Slope	4	0	Forward	1.997e-04	2.589e-05	1.600e-04	2.227e-04	-7.262e-02	1.977e-01	-4.414e-01	3.817e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0938	0.406	0.344	0.0938	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Slope	4	0	Backward	2.533e-04	3.468e-05	1.997e-04	2.839e-04	-8.558e-04	4.182e-02	-8.932e-02	1.073e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.969	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Slope	4	0	Roundtrip	1.248e-05	1.618e-06	1.000e-05	1.392e-05	-7.278e-02	2.569e-01	-5.511e-01	3.468e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.156	0.219	0.219	0.313	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Slope	4	0	Forward	1.997e-04	2.589e-05	1.600e-04	2.227e-04	-7.720e-03	2.193e-01	-3.447e-01	5.476e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.313	0.406	0.125	0.0625	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
