2n	Momentum	Exponent	Input Uncertainty	Term	Variance
26	3.364293e+12	1.500000e+00	1.950000e-01	-9.104804e+08	-3.163519e-10

28	6.868173e+13	-2.000000e+00	2.000000e-01	3.039824e+17	8.159966e-03
28	6.868173e+13	-2.000000e+00	1.950000e-01	3.039824e+17	4.016221e-03
28	6.868173e+13	-1.500000e+00	2.000000e-01	2.894975e+16	7.771139e-04
28	6.868173e+13	-1.500000e+00	1.950000e-01	2.894975e+16	3.824846e-04
28	6.868173e+13	-1.000000e+00	2.000000e-01	1.846179e+15	4.955799e-05
28	6.868173e+13	-1.000000e+00	1.950000e-01	1.846179e+15	2.439175e-05
28	6.868173e+13	-5.000000e-01	2.000000e-01	5.377899e+13	1.443619e-06
28	6.868173e+13	-5.000000e-01	1.950000e-01	5.377899e+13	7.105289e-07
28	6.868173e+13	5.000000e-01	2.000000e-01	2.631674e+11	7.064347e-09
28	6.868173e+13	5.000000e-01	1.950000e-01	2.631674e+11	3.476972e-09
28	6.868173e+13	1.500000e+00	2.000000e-01	-1.534382e+10	-4.118824e-10
28	6.868173e+13	1.500000e+00	1.950000e-01	-1.534382e+10	-2.027227e-10

30	1.437915e+15	-2.000000e+00	2.000000e-01	7.739682e+18	8.310421e-03
30	1.437915e+15	-2.000000e+00	1.950000e-01	7.739682e+18	3.888315e-03
30	1.437915e+15	-1.500000e+00	2.000000e-01	6.932069e+17	7.443252e-04
30	1.437915e+15	-1.500000e+00	1.950000e-01	6.932069e+17	3.482581e-04
30	1.437915e+15	-1.000000e+00	2.000000e-01	4.153305e+16	4.459577e-05
30	1.437915e+15	-1.000000e+00	1.950000e-01	4.153305e+16	2.086566e-05
30	1.437915e+15	-5.000000e-01	2.000000e-01	1.136624e+15	1.220441e-06
30	1.437915e+15	-5.000000e-01	1.950000e-01	1.136624e+15	5.710250e-07
30	1.437915e+15	5.000000e-01	2.000000e-01	4.964739e+12	5.330848e-09
30	1.437915e+15	5.000000e-01	1.950000e-01	4.964739e+12	2.494220e-09
30	1.437915e+15	1.500000e+00	2.000000e-01	-2.688529e+11	-2.886786e-10
30	1.437915e+15	1.500000e+00	1.950000e-01	-2.688529e+11	-1.350682e-10

32	3.072901e+16	-2.000000e+00	2.000000e-01	1.987289e+20	8.535342e-03
32	3.072901e+16	-2.000000e+00	1.950000e-01	1.987289e+20	3.796371e-03
32	3.072901e+16	-1.500000e+00	2.000000e-01	1.679907e+19	7.215144e-04
32	3.072901e+16	-1.500000e+00	1.950000e-01	1.679907e+19	3.209170e-04
32	3.072901e+16	-1.000000e+00	2.000000e-01	9.491374e+17	4.076514e-05
32	3.072901e+16	-1.000000e+00	1.950000e-01	9.491374e+17	1.813162e-05
32	3.072901e+16	-5.000000e-01	2.000000e-01	2.449670e+16	1.052125e-06
32	3.072901e+16	-5.000000e-01	1.950000e-01	2.449670e+16	4.679668e-07
32	3.072901e+16	5.000000e-01	2.000000e-01	9.625261e+13	4.134018e-09
32	3.072901e+16	5.000000e-01	1.950000e-01	9.625261e+13	1.838739e-09
32	3.072901e+16	1.500000e+00	2.000000e-01	-4.866176e+12	-2.090007e-10
32	3.072901e+16	1.500000e+00	1.950000e-01	-4.866176e+12	-9.295985e-11

34	6.678980e+17	-2.000000e+00	2.000000e-01	5.134588e+21	8.821155e-03
34	6.678980e+17	-2.000000e+00	1.950000e-01	5.134588e+21	3.729773e-03
34	6.678980e+17	-1.500000e+00	2.000000e-01	4.109473e+20	7.060022e-04
34	6.678980e+17	-1.500000e+00	1.950000e-01	4.109473e+20	2.985128e-04
34	6.678980e+17	-1.000000e+00	2.000000e-01	2.196705e+19	3.773911e-05
34	6.678980e+17	-1.000000e+00	1.950000e-01	2.196705e+19	1.595690e-05
34	6.678980e+17	-5.000000e-01	2.000000e-01	5.365134e+17	9.217229e-07
34	6.678980e+17	-5.000000e-01	1.950000e-01	5.365134e+17	3.897242e-07
34	6.678980e+17	5.000000e-01	2.000000e-01	1.909188e+15	3.279960e-09
34	6.678980e+17	5.000000e-01	1.950000e-01	1.909188e+15	1.386837e-09
34	6.678980e+17	1.500000e+00	2.000000e-01	-9.051574e+13	-1.555049e-10
34	6.678980e+17	1.500000e+00	1.950000e-01	-9.051574e+13	-6.575078e-11

36	1.472245e+19	-2.000000e+00	2.000000e-01	1.332705e+23	9.158279e-03
36	1.472245e+19	-2.000000e+00	1.950000e-01	1.332705e+23	3.681120e-03
36	1.472245e+19	-1.500000e+00	2.000000e-01	1.012746e+22	6.959539e-04
36	1.472245e+19	-1.500000e+00	1.950000e-01	1.012746e+22	2.797349e-04
36	1.472245e+19	-1.000000e+00	2.000000e-01	5.136934e+20	3.530074e-05
36	1.472245e+19	-1.000000e+00	1.950000e-01	5.136934e+20	1.418894e-05
36	1.472245e+19	-5.000000e-01	2.000000e-01	1.190843e+19	8.183409e-07
36	1.472245e+19	-5.000000e-01	1.950000e-01	1.190843e+19	3.289277e-07
36	1.472245e+19	5.000000e-01	2.000000e-01	3.860756e+16	2.653092e-09
36	1.472245e+19	5.000000e-01	1.950000e-01	3.860756e+16	1.066396e-09
36	1.472245e+19	1.500000e+00	2.000000e-01	-1.723258e+15	-1.184214e-10
36	1.472245e+19	1.500000e+00	1.950000e-01	-1.723258e+15	-4.759883e-11

38	3.283812e+20	-2.000000e+00	2.000000e-01	3.470558e+24	9.539796e-03
38	3.283812e+20	-2.000000e+00	1.950000e-01	3.470558e+24	3.645142e-03
38	3.283812e+20	-1.500000e+00	2.000000e-01	2.510500e+23	6.900811e-04
38	3.283812e+20	-1.500000e+00	1.950000e-01	2.510500e+23	2.636790e-04
38	3.283812e+20	-1.000000e+00	2.000000e-01	1.211513e+22	3.330181e-05
38	3.283812e+20	-1.000000e+00	1.950000e-01	1.211513e+22	1.272457e-05
38	3.283812e+20	-5.000000e-01	2.000000e-01	2.672969e+20	7.347401e-07
38	3.283812e+20	-5.000000e-01	1.950000e-01	2.672969e+20	2.807431e-07
38	3.283812e+20	5.000000e-01	2.000000e-01	7.937009e+17	2.181708e-09
38	3.283812e+20	5.000000e-01	1.950000e-01	7.937009e+17	8.336276e-10
38	3.283812e+20	1.500000e+00	2.000000e-01	-3.346889e+16	-9.199857e-11
38	3.283812e+20	1.500000e+00	1.950000e-01	-3.346889e+16	-3.515252e-11

40	7.398128e+21	-2.000000e+00	2.000000e-01	9.059126e+25	9.960615e-03
40	7.398128e+21	-2.000000e+00	1.950000e-01	9.059126e+25	3.618018e-03
40	7.398128e+21	-1.500000e+00	2.000000e-01	6.252388e+24	6.874573e-04
40	7.398128e+21	-1.500000e+00	1.950000e-01	6.252388e+24	2.497068e-04
40	7.398128e+21	-1.000000e+00	2.000000e-01	2.877491e+23	3.163835e-05
40	7.398128e+21	-1.000000e+00	1.950000e-01	2.877491e+23	1.149207e-05
40	7.398128e+21	-5.000000e-01	2.000000e-01	6.056929e+21	6.659663e-07
40	7.398128e+21	-5.000000e-01	1.950000e-01	6.056929e+21	2.419006e-07
40	7.398128e+21	5.000000e-01	2.000000e-01	1.655047e+19	1.819744e-09
40	7.398128e+21	5.000000e-01	1.950000e-01	1.655047e+19	6.609900e-10
40	7.398128e+21	1.500000e+00	2.000000e-01	-6.613638e+17	-7.271772e-11
40	7.398128e+21	1.500000e+00	1.950000e-01	-6.613638e+17	-2.641344e-11

42	1.681048e+23	-2.000000e+00	2.000000e-01	2.368533e+27	1.041692e-02
42	1.681048e+23	-2.000000e+00	1.950000e-01	2.368533e+27	3.596939e-03
42	1.681048e+23	-1.500000e+00	2.000000e-01	1.562974e+26	6.874032e-04
42	1.681048e+23	-1.500000e+00	1.950000e-01	1.562974e+26	2.373588e-04
42	1.681048e+23	-1.000000e+00	2.000000e-01	6.874814e+24	3.023575e-05
42	1.681048e+23	-1.000000e+00	1.950000e-01	6.874814e+24	1.044034e-05
42	1.681048e+23	-5.000000e-01	2.000000e-01	1.383658e+23	6.085393e-07
42	1.681048e+23	-5.000000e-01	1.950000e-01	1.383658e+23	2.101273e-07
42	1.681048e+23	5.000000e-01	2.000000e-01	3.494010e+20	1.536682e-09
42	1.681048e+23	5.000000e-01	1.950000e-01	3.494010e+20	5.306129e-10
42	1.681048e+23	1.500000e+00	2.000000e-01	-1.326782e+19	-5.835250e-11
42	1.681048e+23	1.500000e+00	1.950000e-01	-1.326782e+19	-2.014899e-11

44	3.848046e+24	-2.000000e+00	2.000000e-01	6.199228e+28	1.090580e-02
44	3.848046e+24	-2.000000e+00	1.950000e-01	6.199228e+28	3.579814e-03
44	3.848046e+24	-1.500000e+00	2.000000e-01	3.918847e+27	6.894108e-04
44	3.848046e+24	-1.500000e+00	1.950000e-01	3.918847e+27	2.262982e-04
44	3.848046e+24	-1.000000e+00	2.000000e-01	1.650695e+26	2.903934e-05
44	3.848046e+24	-1.000000e+00	1.950000e-01	1.650695e+26	9.532126e-06
44	3.848046e+24	-5.000000e-01	2.000000e-01	3.182984e+24	5.599565e-07
44	3.848046e+24	-5.000000e-01	1.950000e-01	3.182984e+24	1.838050e-07
44	3.848046e+24	5.000000e-01	2.000000e-01	7.456439e+21	1.311751e-09
44	3.848046e+24	5.000000e-01	1.950000e-01	7.456439e+21	4.305805e-10
44	3.848046e+24	1.500000e+00	2.000000e-01	-2.697332e+20	-4.745196e-11
44	3.848046e+24	1.500000e+00	1.950000e-01	-2.697332e+20	-1.557605e-11

46	8.865053e+25	-2.000000e+00	2.000000e-01	1.623591e+30	1.142500e-02
46	8.865053e+25	-2.000000e+00	1.950000e-01	1.623591e+30	3.565075e-03
46	8.865053e+25	-1.500000e+00	2.000000e-01	9.849461e+28	6.930942e-04
46	8.865053e+25	-1.500000e+00	1.950000e-01	9.849461e+28	2.162741e-04
46	8.865053e+25	-1.000000e+00	2.000000e-01	3.980214e+27	2.800827e-05
46	8.865053e+25	-1.000000e+00	1.950000e-01	3.980214e+27	8.739741e-06
46	8.865053e+25	-5.000000e-01	2.000000e-01	7.366634e+25	5.183808e-07
46	8.865053e+25	-5.000000e-01	1.950000e-01	7.366634e+25	1.617563e-07
46	8.865053e+25	5.000000e-01	2.000000e-01	1.606493e+23	1.130469e-09
46	8.865053e+25	5.000000e-01	1.950000e-01	1.606493e+23	3.527532e-10
46	8.865053e+25	1.500000e+00	2.000000e-01	-5.548675e+21	-3.904533e-11
46	8.865053e+25	1.500000e+00	1.950000e-01	-5.548675e+21	-1.218376e-11

48	2.053787e+27	-2.000000e+00	2.000000e-01	4.253585e+31	1.197278e-02
48	2.053787e+27	-2.000000e+00	1.950000e-01	4.253585e+31	3.551538e-03
48	2.053787e+27	-1.500000e+00	2.000000e-01	2.480347e+30	6.981557e-04
48	2.053787e+27	-1.500000e+00	1.950000e-01	2.480347e+30	2.070970e-04
48	2.053787e+27	-1.000000e+00	2.000000e-01	9.631958e+28	2.711155e-05
48	2.053787e+27	-1.000000e+00	1.950000e-01	9.631958e+28	8.042219e-06
48	2.053787e+27	-5.000000e-01	2.000000e-01	1.713963e+27	4.824378e-07
48	2.053787e+27	-5.000000e-01	1.950000e-01	1.713963e+27	1.431076e-07
48	2.053787e+27	5.000000e-01	2.000000e-01	3.490617e+24	9.825213e-10
48	2.053787e+27	5.000000e-01	1.950000e-01	3.490617e+24	2.914496e-10
48	2.053787e+27	1.500000e+00	2.000000e-01	-1.153487e+23	-3.246777e-11
48	2.053787e+27	1.500000e+00	1.950000e-01	-1.153487e+23	-9.631058e-12

50	4.781586e+28	-2.000000e+00	2.000000e-01	1.114462e+33	1.254772e-02
50	4.781586e+28	-2.000000e+00	1.950000e-01	1.114462e+33	3.538308e-03
50	4.781586e+28	-1.500000e+00	2.000000e-01	6.255997e+31	7.043627e-04
50	4.781586e+28	-1.500000e+00	1.950000e-01	6.255997e+31	1.986219e-04
50	4.781586e+28	-1.000000e+00	2.000000e-01	2.338155e+30	2.632528e-05
50	4.781586e+28	-1.000000e+00	1.950000e-01	2.338155e+30	7.423417e-06
50	4.781586e+28	-5.000000e-01	2.000000e-01	4.006415e+28	4.510822e-07
50	4.781586e+28	-5.000000e-01	1.950000e-01	4.006415e+28	1.271998e-07
50	4.781586e+28	5.000000e-01	2.000000e-01	7.642039e+25	8.604170e-10
50	4.781586e+28	5.000000e-01	1.950000e-01	7.642039e+25	2.426274e-10
50	4.781586e+28	1.500000e+00	2.000000e-01	-2.420672e+24	-2.725435e-11
50	4.781586e+28	1.500000e+00	1.950000e-01	-2.420672e+24	-7.685402e-12

52	1.118116e+30	-2.000000e+00	2.000000e-01	2.919601e+34	1.314871e-02
52	1.118116e+30	-2.000000e+00	1.950000e-01	2.919601e+34	3.524709e-03
52	1.118116e+30	-1.500000e+00	2.000000e-01	1.579915e+33	7.115306e-04
52	1.118116e+30	-1.500000e+00	1.950000e-01	1.579915e+33	1.907364e-04
52	1.118116e+30	-1.000000e+00	2.000000e-01	5.691178e+31	2.563079e-05
52	1.118116e+30	-1.000000e+00	1.950000e-01	5.691178e+31	6.870715e-06
52	1.118116e+30	-5.000000e-01	2.000000e-01	9.403742e+29	4.235069e-07
52	1.118116e+30	-5.000000e-01	1.950000e-01	9.403742e+29	1.135274e-07
52	1.118116e+30	5.000000e-01	2.000000e-01	1.684481e+27	7.586229e-10
52	1.118116e+30	5.000000e-01	1.950000e-01	1.684481e+27	2.033602e-10
52	1.118116e+30	1.500000e+00	2.000000e-01	-5.123403e+25	-2.307375e-11
52	1.118116e+30	1.500000e+00	1.950000e-01	-5.123403e+25	-6.185265e-12

54	2.624785e+31	-2.000000e+00	2.000000e-01	7.646574e+35	1.377484e-02
54	2.624785e+31	-2.000000e+00	1.950000e-01	7.646574e+35	3.510233e-03
54	2.624785e+31	-1.500000e+00	2.000000e-01	3.994094e+34	7.195120e-04
54	2.624785e+31	-1.500000e+00	1.950000e-01	3.994094e+34	1.833527e-04
54	2.624785e+31	-1.000000e+00	2.000000e-01	1.388516e+33	2.501328e-05
54	2.624785e+31	-1.000000e+00	1.950000e-01	1.388516e+33	6.374115e-06
54	2.624785e+31	-5.000000e-01	2.000000e-01	2.215337e+31	3.990797e-07
54	2.624785e+31	-5.000000e-01	1.950000e-01	2.215337e+31	1.016972e-07
54	2.624785e+31	5.000000e-01	2.000000e-01	3.735827e+28	6.729867e-10
54	2.624785e+31	5.000000e-01	1.950000e-01	3.735827e+28	1.714967e-10
54	2.624785e+31	1.500000e+00	2.000000e-01	-1.092785e+27	-1.968587e-11
