X	Edge	Bias	Value	Uncertainty	Exception
1.400000000000000e+00	2.015600000000000e-01	1.149433639683872e-02	1.011494336396839e+00	2.812235473117884e-01	Type.NotMonotonicException
1.450000000000000e+00	2.015900000000000e-01	1.338112750897302e-02	1.013381127508973e+00	2.913966868538333e-01	Type.NotMonotonicException
1.500000000000000e+00	2.016100000000000e-01	1.536637651411965e-02	1.015366376514120e+00	3.016107009601669e-01	Type.NotMonotonicException
1.550000000000000e+00	2.016300000000000e-01	1.745129775140164e-02	1.017451297751402e+00	3.118837490038948e-01	Type.NotMonotonicException
1.600000000000000e+00	2.016500000000000e-01	1.963598444416626e-02	1.019635984444166e+00	3.222201245742934e-01	Type.NotMonotonicException
1.650000000000000e+00	2.016800000000000e-01	2.192274749698231e-02	1.021922747496982e+00	3.326405906968394e-01	Type.NotMonotonicException
1.700000000000000e+00	2.017000000000000e-01	2.430760750011785e-02	1.024307607500118e+00	3.431170237291639e-01	Type.NotMonotonicException
1.750000000000000e+00	2.017200000000000e-01	2.679271287753027e-02	1.026792712877530e+00	3.536696378386340e-01	Type.NotMonotonicException
1.800000000000000e+00	2.017500000000000e-01	2.938120360862340e-02	1.029381203608623e+00	3.643208884631738e-01	Type.NotMonotonicException
1.850000000000000e+00	2.017700000000000e-01	3.206775347001023e-02	1.032067753470010e+00	3.750393059789786e-01	Type.NotMonotonicException
1.900000000000000e+00	2.017900000000000e-01	3.485530973724282e-02	1.034855309737243e+00	3.858467872237701e-01	Type.NotMonotonicException
1.950000000000000e+00	2.018200000000000e-01	3.774792725626219e-02	1.037747927256262e+00	3.967676232915647e-01	Type.NotMonotonicException
2.050000000000000e+00	2.018600000000000e-01	4.383162957076037e-02	1.043831629570760e+00	4.188680908398255e-01	Type.NotMonotonicException
2.100000000000000e+00	2.018800000000000e-01	4.702694949494890e-02	1.047026949494949e+00	4.300758157943949e-01	Type.NotMonotonicException
2.150000000000000e+00	2.019100000000000e-01	5.033012799256675e-02	1.050330127992567e+00	4.414169799680112e-01	Type.NotMonotonicException
2.200000000000000e+00	2.019300000000000e-01	5.373200620383489e-02	1.053732006203835e+00	4.528515493747778e-01	Type.NotMonotonicException
2.250000000000000e+00	2.019500000000000e-01	5.723773220958095e-02	1.057237732209581e+00	4.644059026332348e-01	Type.NotMonotonicException
2.300000000000000e+00	2.019800000000000e-01	6.085384149642414e-02	1.060853841496424e+00	4.761092525704860e-01	Type.NotMonotonicException
2.350000000000000e+00	2.020000000000000e-01	6.456922972406254e-02	1.064569229724063e+00	4.879174875216311e-01	Type.NotMonotonicException
2.400000000000000e+00	2.020200000000000e-01	6.839013783969317e-02	1.068390137839693e+00	4.998591815999821e-01	Type.NotMonotonicException
2.450000000000000e+00	2.020500000000000e-01	7.232431954327945e-02	1.072324319543279e+00	5.119659693089930e-01	Type.NotMonotonicException
2.500000000000000e+00	2.020700000000000e-01	7.635853715555996e-02	1.076358537155560e+00	5.241893660874755e-01	Type.NotMonotonicException
2.550000000000000e+00	2.020900000000000e-01	8.050021826893738e-02	1.080500218268937e+00	5.365603301083490e-01	Type.NotMonotonicException
2.600000000000000e+00	2.021100000000000e-01	8.475006765204030e-02	1.084750067652040e+00	5.490836681112125e-01	Type.NotMonotonicException
2.650000000000000e+00	2.021400000000000e-01	8.911761607289881e-02	1.089117616072899e+00	5.617945774685518e-01	Type.NotMonotonicException
2.700000000000000e+00	2.021600000000000e-01	9.358647975003742e-02	1.093586479750037e+00	5.746382202503063e-01	Type.NotMonotonicException
2.750000000000000e+00	2.021800000000000e-01	9.816582002744778e-02	1.098165820027448e+00	5.876490576062909e-01	Type.NotMonotonicException
2.800000000000000e+00	2.022100000000000e-01	1.028666205603408e-01	1.102866620560341e+00	6.008652355410552e-01	Type.NotMonotonicException
2.850000000000000e+00	2.022300000000000e-01	1.076699028700574e-01	1.107669902870057e+00	6.142267090036064e-01	Type.NotMonotonicException
2.900000000000000e+00	2.022500000000000e-01	1.125862475631705e-01	1.112586247563171e+00	6.277708353684934e-01	Type.NotMonotonicException
2.950000000000000e+00	2.022800000000000e-01	1.176281990601933e-01	1.117628199060193e+00	6.415389698143327e-01	Type.NotMonotonicException
3.050000000000000e+00	2.023200000000000e-01	1.280356798121660e-01	1.128035679812166e+00	6.695907407248994e-01	Type.NotMonotonicException
3.100000000000000e+00	2.023400000000000e-01	1.334143310940841e-01	1.133414331094084e+00	6.839204477218075e-01	Type.NotMonotonicException
3.150000000000000e+00	2.023700000000000e-01	1.389247298880409e-01	1.138924729888041e+00	6.985006360275059e-01	Type.NotMonotonicException
3.200000000000000e+00	2.023900000000000e-01	1.445410123346951e-01	1.144541012334695e+00	7.132573847475708e-01	Type.NotMonotonicException
3.250000000000000e+00	2.024100000000000e-01	1.502774939149445e-01	1.150277493914945e+00	7.282358357684728e-01	Type.NotMonotonicException
3.300000000000000e+00	2.024400000000000e-01	1.561508093385915e-01	1.156150809338592e+00	7.434859791953711e-01	Type.NotMonotonicException
3.350000000000000e+00	2.024600000000000e-01	1.621317648996463e-01	1.162131764899646e+00	7.589270979666664e-01	Type.NotMonotonicException
3.400000000000000e+00	2.024800000000000e-01	1.682364709012270e-01	1.168236470901227e+00	7.746081688776920e-01	Type.NotMonotonicException
3.450000000000000e+00	2.025100000000000e-01	1.744835216613401e-01	1.174483521661340e+00	7.905834387759025e-01	Type.NotMonotonicException
3.500000000000000e+00	2.025300000000000e-01	1.808401508556334e-01	1.180840150855633e+00	8.067648128284556e-01	Type.NotMonotonicException
3.550000000000000e+00	2.025500000000000e-01	1.873243885519302e-01	1.187324388551930e+00	8.232054406848481e-01	Type.NotMonotonicException
3.600000000000000e+00	2.025800000000000e-01	1.939569221062441e-01	1.193956922106244e+00	8.399642022877655e-01	Type.NotMonotonicException
3.650000000000000e+00	2.026000000000000e-01	2.007011576946700e-01	1.200701157694670e+00	8.569449885756301e-01	Type.NotMonotonicException
3.700000000000000e+00	2.026200000000000e-01	2.075771766826922e-01	1.207577176682692e+00	8.742054899125747e-01	Type.NotMonotonicException
3.750000000000000e+00	2.026500000000000e-01	2.146079002291739e-01	1.214607900229174e+00	8.918096287756131e-01	Type.NotMonotonicException
3.800000000000000e+00	2.026700000000000e-01	2.217526389126761e-01	1.221752638912676e+00	9.096525862380725e-01	Type.NotMonotonicException
3.850000000000000e+00	2.026900000000000e-01	2.290336640800657e-01	1.229033664080066e+00	9.277969937120603e-01	Type.NotMonotonicException
3.900000000000000e+00	2.027100000000000e-01	2.364525462944789e-01	1.236452546294479e+00	9.462503841026446e-01	Type.NotMonotonicException
3.950000000000000e+00	2.027400000000000e-01	2.440354173485777e-01	1.244035417348578e+00	9.650841015515955e-01	Type.NotMonotonicException
