RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Var	Uniform	1.0e-06	Cos	4	7	Forward	4.000e-06	0.000e+00	4.000e-06	4.000e-06	1.301e-01	1.004e+00	-1.705e+00	2.124e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.00	0.0313	0.0938	0.0938	0.0625	0.0625	0.0313	0.0313	0.0625	0.125	0.0313	0.0625	0.0313	0.0938	0.00	0.0625	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-06	Cos	4	7	Backward	1.000e-06	0.000e+00	1.000e-06	1.000e-06	2.420e-01	9.830e-01	-1.394e+00	1.730e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.0938	0.0625	0.00	0.0313	0.0938	0.0938	0.00	0.0313	0.0313	0.125	0.0313	0.125	0.0625	0.0313	0.0938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-06	Cos	4	7	Roundtrip	2.500e-07	0.000e+00	2.500e-07	2.500e-07	-1.893e-01	9.310e-01	-2.300e+00	1.643e+00	0.00	0.00	0.00	0.00	0.0313	0.00	0.00	0.00	0.125	0.0938	0.0313	0.0313	0.0625	0.0313	0.0938	0.125	0.0938	0.0313	0.0625	0.00	0.0938	0.0625	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Slope	4	0	Forward	4.000e-05	0.000e+00	4.000e-05	4.000e-05	-1.021e-01	7.804e-01	-1.817e+00	1.695e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.00	0.00	0.0625	0.0938	0.156	0.0625	0.0313	0.156	0.0625	0.0938	0.0313	0.0938	0.0313	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Slope	4	0	Backward	1.000e-05	0.000e+00	1.000e-05	1.000e-05	-6.332e-02	7.845e-01	-1.600e+00	1.459e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0625	0.0313	0.0313	0.0313	0.0938	0.156	0.0313	0.0313	0.0625	0.0938	0.250	0.0313	0.00	0.00	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Slope	4	0	Roundtrip	2.500e-06	0.000e+00	2.500e-06	2.500e-06	2.095e-01	1.138e+00	-2.196e+00	2.429e+00	0.00	0.00	0.00	0.00	0.0313	0.00	0.0313	0.00	0.0625	0.00	0.00	0.0625	0.0625	0.0625	0.0313	0.219	0.0313	0.0313	0.0938	0.0313	0.0313	0.00	0.0625	0.0313	0.00	0.0313	0.0625	0.0313	0.00	0.00	0.00
Var	Uniform	1.0e-05	Slope	4	0	Forward	4.000e-05	0.000e+00	4.000e-05	4.000e-05	3.661e-02	1.013e+00	-1.797e+00	2.149e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.0313	0.00	0.0313	0.0938	0.188	0.0625	0.00	0.125	0.0625	0.00	0.0625	0.0625	0.0625	0.00	0.0313	0.0625	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-05	Slope	4	0	Backward	1.000e-05	0.000e+00	1.000e-05	1.000e-05	1.971e-01	9.942e-01	-1.569e+00	1.638e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.0313	0.0938	0.0938	0.0313	0.0313	0.0625	0.0625	0.0625	0.00	0.0313	0.125	0.0313	0.0938	0.125	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Uniform	1.0e-05	Slope	4	0	Roundtrip	2.500e-06	0.000e+00	2.500e-06	2.500e-06	-2.233e-01	8.377e-01	-2.111e+00	1.343e+00	0.00	0.00	0.00	0.00	0.0313	0.00	0.0313	0.00	0.0938	0.0313	0.0313	0.00	0.125	0.0625	0.156	0.0625	0.125	0.0625	0.0625	0.0313	0.0313	0.0313	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Sin	4	7	Forward	4.000e-05	0.000e+00	4.000e-05	4.000e-05	1.847e-02	1.004e+00	-2.101e+00	1.936e+00	0.00	0.00	0.00	0.00	0.0313	0.00	0.0313	0.00	0.0625	0.0625	0.0313	0.0938	0.00	0.0313	0.0625	0.0625	0.00	0.219	0.0938	0.0313	0.0625	0.0625	0.00	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Sin	4	7	Backward	1.000e-05	0.000e+00	1.000e-05	1.000e-05	-3.896e-02	1.003e+00	-2.257e+00	2.206e+00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.00	0.00	0.0313	0.00	0.0625	0.0313	0.125	0.0938	0.0625	0.0938	0.188	0.0625	0.0313	0.00	0.00	0.00	0.0313	0.0625	0.0313	0.00	0.0313	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Sin	4	7	Roundtrip	2.500e-06	0.000e+00	2.500e-06	2.500e-06	-1.054e-01	9.243e-01	-2.161e+00	1.663e+00	0.00	0.00	0.00	0.00	0.0313	0.00	0.00	0.00	0.0625	0.0625	0.0313	0.0938	0.0625	0.0625	0.125	0.0625	0.125	0.0938	0.00	0.00	0.0313	0.0313	0.0625	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Var	Gaussian	1.0e-05	Cos	4	7	Forward	4.000e-05	0.000e+00	4.000e-05	4.000e-05	-2.236e-01	1.133e+00	-1.877e+00	2.786e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0938	0.0625	0.0625	0.125	0.0625	0.0313	0.0313	0.00	0.0938	0.0313	0.125	0.0938	0.0313	0.00	0.0313	0.0313	0.00	0.00	0.00	0.0313	0.00	0.00	0.0313	0.00
Var	Gaussian	1.0e-05	Cos	4	7	Backward	1.000e-05	0.000e+00	1.000e-05	1.000e-05	3.976e-02	1.154e+00	-2.687e+00	2.760e+00	0.00	0.00	0.0313	0.00	0.00	0.00	0.0313	0.0313	0.0625	0.0313	0.0625	0.0625	0.0313	0.00	0.0625	0.0625	0.0625	0.0938	0.0625	0.125	0.0313	0.0313	0.0313	0.0313	0.0313	0.00	0.00	0.00	0.00	0.0313	0.00
Var	Gaussian	1.0e-05	Cos	4	7	Roundtrip	2.500e-06	0.000e+00	2.500e-06	2.500e-06	-1.479e-01	1.107e+00	-1.854e+00	2.579e+00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0938	0.0938	0.0625	0.0313	0.0625	0.0625	0.00	0.0313	0.0938	0.0625	0.0625	0.125	0.0313	0.0938	0.00	0.00	0.00	0.00	0.00	0.0313	0.00	0.0313	0.00	0.00
Var	Uniform	1.0e-05	Sin	4	7	Forward	4.000e-05	0.000e+00	4.000e-05	4.000e-05	-1.432e-01	8.828e-01	-2.643e+00	1.242e+00	0.00	0.00	0.0313	0.00	0.0313	0.00	0.00	0.00	0.0313	0.00	0.0938	0.0313	0.0625	0.0625	0.125	0.156	0.0938	0.0313	0.0938	0.0313	0.0625	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
